"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Kalshi","110000","90500","74000","110000","110000","201000","165000","135000","301000","823000","673000","1830000"
"Machinify","1300","1300","4400","2900","3600","3600","3600","3600","4400","6600","4400","5400"
"Sensor Tower","60500","60500","60500","60500","60500","60500","74000","60500","60500","74000","74000","74000"
