"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Mytra","11100000","9140000","11100000","9140000","9140000","11100000","11100000","11100000","13600000","11100000","11100000","11100000"
"Bedrock Robotics","260","480","590","720","720","720","590","9900","4400","2900","4400","4400"
"Imbue","74000","90500","90500","90500","90500","74000","74000","74000","1000000","90500","74000","74000"
