"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Apartment List","6785847","3.11%"
"Bilt Rewards","5829529.17","4.18%"
"Zumper","2075234","25.59%"
"Crexi","2359950.5","-12.74%"
"Entrata","1486915","-5.25%"
"HomeLight","850950.67","3.40%"
"Funnel","293042.83","22.76%"
"RentSpree","591785.67","-9.40%"
"ButterflyMX","582250.67","-15.34%"
"AirGarage","414060.33","-15.79%"
