"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"OnePay","22200","18100","33100","49500","60500","60500","74000","90500","135000","135000","110000","135000"
"PayJoy","201000","246000","201000","246000","301000","301000","301000","301000","301000","301000","368000","301000"
"Achieve","550000","450000","550000","550000","550000","450000","368000","450000","673000","673000","673000","550000"
